Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Población
ENTRE RIOS,SAN SALVADOR,34.0,33,20786.0
SAN JUAN,ALBARDON,14.0,33,31281.0
BUENOS AIRES,LAPRIDA,2.0,33,11496.0
BUENOS AIRES,SUIPACHA,0.0,33,11736.0
NEUQUEN,PEHUENCHES,52.0,32,29721.0
CORRIENTES,SAN MIGUEL,5.0,32,12700.0
LA PAMPA,UTRACAN,4.0,32,17686.0
MISIONES,CONCEPCION,2.0,32,10303.0
SANTIAGO DEL ESTERO,SILIPICA,0.0,32,9766.0
LA PAMPA,CONHELO,7.0,31,15094.0
NEUQUEN,HUILICHES,6.0,31,20853.0
JUJUY,TILCARA,0.0,31,14621.0
BUENOS AIRES,CAPITAN SARMIENTO,18.0,30,15882.0
SAN JUAN,IGLESIA,16.0,30,8826.0
LA PAMPA,REALICO,11.0,30,17356.0
BUENOS AIRES,GENERAL PINTO,9.0,30,12842.0
SAN JUAN,ANGACO,4.0,30,10172.0
BUENOS AIRES,PUNTA INDIO,0.0,30,12161.0
BUENOS AIRES,ALBERTI,20.0,29,12906.0
SAN JUAN,SAN MARTIN,16.0,29,15037.0
SALTA,CERRILLOS,4.0,29,55713.0
JUJUY,SANTA BARBARA,0.0,29,20497.0
CHACO,LIBERTAD,10.0,28,13775.0
LA PAMPA,RANCUL,5.0,28,11090.0
CATAMARCA,FRAY MAMERTO ESQUIU,0.0,28,14624.0
LA RIOJA,ANGEL VICENTE PEÑALOZA,0.0,28,3184.0
SALTA,SAN CARLOS,0.0,28,7779.0
BUENOS AIRES,MAIPU,8.0,27,11253.0
SALTA,CHICOANA,8.0,27,24715.0
LA RIOJA,GENERAL FELIPE VARELA,2.0,27,11371.0
BUENOS AIRES,CASTELLI,0.0,27,9551.0
CORRIENTES,MBURUCUYA,0.0,27,11541.0
LA PAMPA,CHAPALEUFU,20.0,26,12277.0
LA RIOJA,ARAUCO,17.0,26,16251.0
SANTIAGO DEL ESTERO,SARMIENTO,2.0,26,5034.0
BUENOS AIRES,PILA,0.0,26,4615.0
CHACO,PRESIDENCIA DE LA PLAZA,0.0,26,13938.0
NEUQUEN,CHOS MALAL,0.0,26,18289.0
SAN LUIS,GOBERNADOR DUPUY,17.0,25,14334.0
BUENOS AIRES,FLORENTINO AMEGHINO,11.0,25,10759.0
NEUQUEN,MINAS,2.0,25,9267.0
CHACO,1° DE MAYO,0.0,25,14265.0
JUJUY,SANTA CATALINA,0.0,25,2641.0
CHACO,2 DE ABRIL,8.0,24,8310.0
CHUBUT,GAIMAN,9.0,23,12505.0
SALTA,CACHI,2.0,23,8928.0
CORRIENTES,ITATI,0.0,23,11946.0
SANTA CRUZ,LAGO ARGENTINO,21.0,22,25384.0
NEUQUEN,ALUMINE,9.0,22,10173.0
LA PAMPA,ATREUCO,8.0,22,11053.0
RIO NEGRO,PICHI MAHUIDA,8.0,22,16493.0
CORRIENTES,GENERAL ALVEAR,4.0,22,9051.0
CHACO,GENERAL BELGRANO,3.0,22,12807.0
SANTIAGO DEL ESTERO,RIVADAVIA,2.0,22,5314.0
SANTIAGO DEL ESTERO,AGUIRRE,1.0,22,8959.0
CHUBUT,RIO SENGUER,0.0,22,6347.0
SALTA,MOLINOS,10.0,21,5808.0
MENDOZA,LA PAZ,6.0,21,12018.0
NEUQUEN,LOS LAGOS,6.0,21,15502.0
BUENOS AIRES,SAN CAYETANO,2.0,21,8918.0
CORDOBA,SOBREMONTE,2.0,21,4381.0
BUENOS AIRES,GENERAL GUIDO,1.0,21,3157.0
JUJUY,TUMBAYA,1.0,21,5298.0
RIO NEGRO,PILCANIYEU,0.0,21,9309.0
NEUQUEN,AÑELO,36.0,20,18150.0
SANTIAGO DEL ESTERO,BELGRANO,17.0,20,10809.0
BUENOS AIRES,LEZAMA,5.0,20,6170.0
LA PAMPA,PUELEN,5.0,20,11636.0
BUENOS AIRES,GENERAL LAVALLE,4.0,20,4846.0
CHACO,TAPENAGA,1.0,20,4051.0
BUENOS AIRES,HIPOLITO YRIGOYEN,0.0,20,10581.0
SALTA,CAFAYATE,35.0,19,17822.0
JUJUY,SUSQUES,11.0,19,3966.0
CHUBUT,SARMIENTO,4.0,19,14477.0
JUJUY,RINCONADA,2.0,19,1797.0
BUENOS AIRES,TRES LOMAS,1.0,19,9090.0
LA PAMPA,LOVENTUE,0.0,19,9243.0
LA PAMPA,QUEMU QUEMU,6.0,18,8404.0
RIO NEGRO,EL CUY,6.0,18,6960.0
NEUQUEN,PICUNCHES,0.0,18,8471.0
NEUQUEN,ÑORQUIN,0.0,18,5572.0
LA PAMPA,GUATRACHE,2.0,17,9397.0
LA RIOJA,SAN BLAS DE LOS SAUCES,2.0,17,4306.0
RIO NEGRO,9 DE JULIO,1.0,17,3682.0
BUENOS AIRES,PELLEGRINI,2.0,16,7112.0
LA PAMPA,TOAY,0.0,16,17927.0
SALTA,LA CALDERA,0.0,16,12246.0
LA RIOJA,CASTRO BARROS,11.0,15,5810.0
SANTA CRUZ,CORPEN AIKE,6.0,15,15035.0
BUENOS AIRES,SALLIQUELO,3.0,15,9344.0
NEUQUEN,LONCOPUE,0.0,15,7696.0
RIO NEGRO,CONESA,0.0,15,7398.0
LA PAMPA,CATRILO,23.0,14,8225.0
SALTA,LOS ANDES,15.0,14,7182.0
